base_name_en,level,description_en,description_ja,description_fr,description_it,description_de,description_es,description_pt,description_pl,description_ru,description_ko,description_zh,description_ar
Agitator,3,"While active, grants attack +12 and increases affinity by 7%.",スキル発動中、基礎攻撃力＋１２ 会心率＋７％,Attaque +12 Affinité +7 %,ATT Fisico: +12 Affinità: +7%,"Erhöht die Affinität um 7% und verbessert den Angriff um 12 Punkte, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 7% y el ataque +12.","Ativado, concede ataque +12 e aumenta a afinidade em 7%.",Po aktywacji przyznaje atak +12 i zwiększa zgodność o 7%.,"При активации: атака +12, мастерство +7%.","스킬 발동 중, 기초 공격력＋12 회심률＋7％",技能發動時，基礎攻擊力＋１２ 會心率＋７％,أثناء التفعيل، تمنح الهجوم +12 وتزيد النسبة بمقدار 7%.
Agitator,4,"While active, grants attack +16 and increases affinity by 7%.",スキル発動中、基礎攻撃力＋１６ 会心率＋７％,Attaque +16 Affinité +7 %,ATT Fisico: +16 Affinità: +7%,"Erhöht die Affinität um 7% und verbessert den Angriff um 16 Punkte, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 7% y el ataque +16.","Ativado, concede ataque +16 e aumenta a afinidade em 7%.",Po aktywacji przyznaje atak +16 i zwiększa zgodność o 7%.,"При активации: атака +16, мастерство +7%.","스킬 발동 중, 기초 공격력＋16 회심률＋7％",技能發動時，基礎攻擊力＋１６ 會心率＋７％,أثناء التفعيل، تمنح الهجوم +16 وتزيد النسبة بمقدار 7%.
Agitator,5,"While active, grants attack +20 and increases affinity by 10%.",スキル発動中、基礎攻撃力＋２０ 会心率＋１０％,Attaque +20 Affinité +10 %,ATT Fisico: +20 Affinità: +10%,"Erhöht die Affinität um 10% und verbessert den Angriff um 20 Punkte, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 10% y el ataque +20.","Ativado, concede ataque +20 e aumenta a afinidade em 10%.",Po aktywacji przyznaje atak +20 i zwiększa zgodność o 10%.,"При активации: атака +20, мастерство +10%.","스킬 발동 중, 기초 공격력＋20 회심률＋10％",技能發動時，基礎攻擊力＋２０ 會心率＋１０％,أثناء التفعيل، تمنح الهجوم +20 وتزيد النسبة بمقدار 10%.
Agitator,6,"While active, grants attack +24 and increases affinity by 15%.",スキル発動中、基礎攻撃力＋２４ 会心率＋１５％,Attaque +24 Affinité +15 %,ATT Fisico: +24 Affinità: +15%,"Erhöht die Affinität um 15% und verbessert den Angriff um 24 Punkte, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 15% y el ataque +24.","Ativado, concede ataque +24 e aumenta a afinidade em 15%.",Po aktywacji przyznaje atak +24 i zwiększa zgodność o 15%.,"При активации: атака +24, мастерство +15%.","스킬 발동 중, 기초 공격력＋24 회심률＋15％",技能發動時，基礎攻擊力＋２４ 會心率＋１５％,أثناء التفعيل، تمنح الهجوم +24 وتزيد النسبة بمقدار 15%.
Agitator,7,"While active, grants attack +28 and increases affinity by 20%.",スキル発動中、基礎攻撃力＋２８ 会心率＋２０％,Attaque +28 Affinité +20 %,ATT Fisico: +28 Affinità: +20%,"Erhöht die Affinität um 20% und verbessert den Angriff um 28 Punkte, wenn aktiviert.","Mientras está activo, aumenta la afinidad un 20% y el ataque +28.","Ativado, concede ataque +28 e aumenta a afinidade em 20%.",Po aktywacji przyznaje atak +28 i zwiększa zgodność o 20%.,"При активации: атака +28, мастерство +20%.","스킬 발동 중, 기초 공격력＋28 회심률＋20％",技能發動時，基礎攻擊力＋２８ 會心率＋２０％,أثناء التفعيل، تمنح الهجوم +28 وتزيد النسبة بمقدار 20%.
Peak Performance,1,"While active, grants attack +5.",スキル発動中、基礎攻撃力＋５,Attaque +5,ATT Fisico: +5,"Verbessert den Angriff um 5 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +5.","Ativado, concede ataque +5.",Po aktywacji przyznaje atak +5.,При активации: атака +5.,"스킬 발동 중, 기초 공격력＋5",技能發動時，基礎攻擊力＋５,أثناء التفعيل، تمنح الهجوم +5.
Peak Performance,2,"While active, grants attack +10.",スキル発動中、基礎攻撃力＋１０,Attaque +10,ATT Fisico: +10,"Verbessert den Angriff um 10 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +10.","Ativado, concede ataque +10.",Po aktywacji przyznaje atak +10.,При активации: атака +10.,"스킬 발동 중, 기초 공격력＋10",技能發動時，基礎攻擊力＋１０,أثناء التفعيل، تمنح الهجوم +10.
Peak Performance,3,"While active, grants attack +20.",スキル発動中、基礎攻撃力＋２０,Attaque +20,ATT Fisico: +20,"Verbessert den Angriff um 20 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +20.","Ativado, concede ataque +20.",Po aktywacji przyznaje atak +20.,При активации: атака +20.,"스킬 발동 중, 기초 공격력＋20",技能發動時，基礎攻擊力＋２０,أثناء التفعيل، تمنح الهجوم +20.
Heroics,1,"While active, increases defense by 50 points.",スキル発動中、防御力＋５０,Défense +50,DIF fisica: +50,"Erhöht die Verteidigung um 50 Punkte, wenn aktiviert.","Mientras esté activo, aumenta la defensa +50.","Ativado, aumenta a defesa em 50 pontos.",Po aktywacji zwiększa obronę o 50 punktów.,При активации: защита +50.,"스킬 발동 중, 방어력＋50",技能發動時，防禦力＋５０,أثناء التفعيل، تزيد الدفاع 50 نقطة.
Heroics,2,"While active, increases attack power by 5% and increases defense by 50 points.",スキル発動中、攻撃力１．０５倍 防御力＋５０,Attaque +5 % Défense +50,ATT Fisico: +5% DIF Fisica: +50,"Erhöht die Angriffsstärke um 5% und verbessert die Verteidigung um 50 Punkte, wenn aktiviert.","Mientras está activo, aumenta el poder de ataque un 5% y aumenta la defensa +50.","Ativado, aumenta o poder de ataque em 5% e aumenta a defesa em 50 pontos.",Po aktywacji zwiększa siłę ataku o 5% i zwiększa obronę o 50 punktów.,"При активации: атака +5%, защита +50.","스킬 발동 중, 공격력 1.05배 방어력＋50",技能發動時，攻擊力１．０５倍 防禦力＋５０,أثناء التفعيل، تزيد قوة الهجوم بنسبة 5% وتزيد الدفاع 50 نقطة.
Heroics,3,"While active, increases attack power by 5% and increases defense by 100 points.",スキル発動中、攻撃力１．０５倍 防御力＋１００,Attaque +5 % Défense +100,ATT Fisico: +5% DIF Fisica: +100,"Erhöht die Angriffsstärke um 5% und verbessert die Verteidigung um 100 Punkte, wenn aktiviert.","Mientras está activo, aumenta el poder de ataque un 5% y aumenta la defensa +100.","Ativado, aumenta o poder de ataque em 5% e aumenta a defesa em 100 pontos.",Po aktywacji zwiększa siłę ataku o 5% i zwiększa obronę o 100 punktów.,"При активации: атака +5%, защита +100.","스킬 발동 중, 공격력 1.05배 방어력＋100",技能發動時，攻擊力１．０５倍 防禦力＋１００,أثناء التفعيل، تزيد قوة الهجوم بنسبة 5% وتزيد الدفاع 100 نقطة.
Heroics,4,"While active, increases attack power by 10% and increases defense by 100 points.",スキル発動中、攻撃力１．１倍 防御力＋１００,Attaque +10 % Défense +100,ATT Fisico: +10% DIF Fisica: +100,"Erhöht die Angriffsstärke um 10% und verbessert die Verteidigung um 100 Punkte, wenn aktiviert.","Mientras está activo, aumenta el poder de ataque un 10% y aumenta la defensa +100.","Ativado, aumenta o poder de ataque em 10% e aumenta a defesa em 100 pontos.",Po aktywacji zwiększa siłę ataku o 10% i zwiększa obronę o 100 punktów.,"При активации: атака +10%, защита +100.","스킬 발동 중, 공격력 1.1배 방어력＋100",技能發動時，攻擊力１．１倍 防禦力＋１００,أثناء التفعيل، تزيد قوة الهجوم بنسبة 10% وتزيد الدفاع 100 نقطة.
Heroics,5,"While active, increases attack power by 15% and increases defense by 100 points.",スキル発動中、攻撃力１．１５倍 防御力＋１００,Attaque +15 % Défense +100,ATT Fisico: +15% DIF Fisica: +100,"Erhöht die Angriffsstärke um 15% und verbessert die Verteidigung um 100 Punkte, wenn aktiviert.","Mientras está activo, aumenta el poder de ataque un 15% y aumenta la defensa +100.","Ativado, aumenta o poder de ataque em 15% e aumenta a defesa em 100 pontos.",Po aktywacji zwiększa siłę ataku o 15% i zwiększa obronę o 100 punktów.,"При активации: атака +15%, защита +100.","스킬 발동 중, 공격력 1.15배 방어력＋100",技能發動時，攻擊力１．１５倍 防禦力＋１００,أثناء التفعيل، تزيد قوة الهجوم بنسبة 15% وتزيد الدفاع 100 نقطة.
Fortify,1,Increases attack by 10% and defense by 15% with each use.,１回毎に攻撃力１．１倍、 防御力１．１５倍,Attaque +10 % Défense +15 %,Per ogni uso: ATT Fisico: +10% DIF Fisica: +15%,Erhöht bei jeder Benutzung den Angriff um 10% und die Verteidigung um 15%.,Aumenta el ataque un 10% y la defensa un 15% con cada uso.,Aumenta o ataque em 10% e a defesa em 15% a cada uso.,Przy każdym użyciu zwiększa atak o 10% i obronę o 15%.,"Каждое применение усиливает атаку на 10%, а защиту - на 15%","1회마다 공격력 1.1배, 방어력 1.15배",每次攻擊力１．１倍、 防禦力１．１５倍,تزيد الهجوم بنسبة 10% والدفاع بنسبة 15% مع كل استخدام.
Resentment,1,"While active, grants attack +5.",スキル発動中、基礎攻撃力＋５,Attaque +5,ATT Fisico: +5,"Verbessert den Angriff um 5 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +5.","Ativado, concede ataque +5.",Po aktywacji przyznaje atak +5.,При активации: атака +5.,"스킬 발동 중, 기초 공격력＋5",技能發動時，基礎攻擊力＋５,أثناء التفعيل، تمنح الهجوم +5.
Resentment,2,"While active, grants attack +10.",スキル発動中、基礎攻撃力＋１０,Attaque +10,ATT Fisico: +10,"Verbessert den Angriff um 10 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +10.","Ativado, concede ataque +10.",Po aktywacji przyznaje atak +10.,При активации: атака +10.,"스킬 발동 중, 기초 공격력＋10",技能發動時，基礎攻擊力＋１０,أثناء التفعيل، تمنح الهجوم +10.
Resentment,3,"While active, grants attack +15.",スキル発動中、基礎攻撃力＋１５,Attaque +15,ATT Fisico: +15,"Verbessert den Angriff um 15 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +15.","Ativado, concede Ataque +15.",Po aktywacji przyznaje atak +15.,При активации: атака +15.,"스킬 발동 중, 기초 공격력＋15",技能發動時，基礎攻擊力＋１５,أثناء التفعيل، تمنح الهجوم +15.
Resentment,4,"While active, grants attack +20.",スキル発動中、基礎攻撃力＋２０,Attaque +20,ATT Fisico: +20,"Verbessert den Angriff um 20 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +20.","Ativado, concede ataque +20.",Po aktywacji przyznaje atak +20.,При активации: атака +20.,"스킬 발동 중, 기초 공격력＋20",技能發動時，基礎攻擊力＋２０,أثناء التفعيل، تمنح الهجوم +20.
Resentment,5,"While active, grants attack +25.",スキル発動中、基礎攻撃力＋２５,Attaque +25,ATT Fisico: +25,"Verbessert den Angriff um 25 Punkte, wenn aktiviert.","Mientras está activo, aumenta el ataque +25.","Ativado, concede ataque +25.",Po aktywacji przyznaje atak +25.,При активации: атака +25.,"스킬 발동 중, 기초 공격력＋25",技能發動時，基礎攻擊力＋２５,أثناء التفعيل، تمنح الهجوم +25.
Resuscitate,1,"While active, greatly improves evasion invulnerability time and reduces stamina depletion.",スキル発動中、回避時の無敵時間が 大きく延長、スタミナ消費量減少。,Améliore grandement le temps d'invincibilité durant une esquive et réduit la perte d'endurance.,Aumenta il tempo di invulnerabilità. Riduce il consumo della resistenza.,"Verlängerte Unverwundbarkeit beim Ausweichen und verringerte Ausdauerabnahme, wenn aktiviert.","Mientras está activo, alarga mucho el instante de invulnerabilidad al evadir y reduce el gasto de resistencia.","Ativado, aumenta muito o tempo de invulnerabilidade da evasão e reduz o consumo de vigor.",Po aktywacji znacznie zwiększa czas nietykalności przy uniku i zmniejsza spadek wytrzymałości.,При активации сильно увеличивает время неуязвимости при уклонении и уменьшает расход выносливости.,"스킬 발동 중, 회피 시 무적 시간 크게 연장, 스태미나 소비량 감소.",技能發動時，大幅延長迴避的 無敵時間，並減少耐力消耗量。,أثناء التفعيل، تزيد وقت مناعة التفادي بدرجة كبيرة وتقلل استهلاك قوة التحمل.
Horn Maestro,1,Extends melody effect duration and increases health recovery.,狩猟笛の旋律効果時間延長 体力回復量上昇率ＵＰ,Augmente la durée des mélodies et la récupération de vie.,Estende gli effetti delle melodie. Aumenta il recupero della salute.,Verlängert den Melodie-Effekt und verbessert die Gesundheitserholung.,Extiende la duración de efectos de las melodías y aumenta la recuperación de salud.,Prolonga a duração do efeito de melodia e aumenta a regeneração de vida.,Wydłuża czas trwania efektów melodii i zwiększa regenerację zdrowia.,Увеличивает длительность эффектов мелодий и ускоряет восстановление здоровья.,수렵피리의 선율 효과 시간 연장 체력 회복량 상승률 UP,延長狩獵笛的旋律效果時間， 體力回復量的上升率UP,تطيل فترة تأثيرات اللحن وتزيد من تعافي الصحة.
